1981 1 11
1981  2   0.76 -99.00 -99.00 -99.00 -99.00 -99.00 
1981  3  -0.90 -99.00 -99.00 -99.00 -99.00 -99.00 
1981  4  -0.88  -1.33 -99.00 -99.00 -99.00 -99.00 
1981  5  -0.41  -1.19 -99.00 -99.00 -99.00 -99.00 
1981  6   1.19   0.30 -99.00 -99.00 -99.00 -99.00 
1981  7   0.87   1.01   0.73 -99.00 -99.00 -99.00 
1981  8   0.37   1.15   0.67 -99.00 -99.00 -99.00 
1981  9   0.21   0.73   0.70 -99.00 -99.00 -99.00 
1981 10   1.44   1.29   1.47   1.23 -99.00 -99.00 
1981 11  -1.11   1.01   1.57   1.14 -99.00 -99.00 
1981 12   1.20   1.34   1.34   1.26 -99.00 -99.00 
1982  1   0.06  -0.36   1.17   1.44   1.20 -99.00 
1982  2  -0.37   0.89   1.10   1.62   1.19 -99.00 
1982  3  -0.43  -0.79   1.26   1.30   1.21 -99.00 
1982  4  -0.31  -0.82  -0.95   0.93   1.31 -99.00 
1982  5   0.61   0.18   0.24   0.92   1.47 -99.00 
1982  6  -0.12   0.04  -0.06   0.79   1.09 -99.00 
1982  7  -1.39  -0.72  -0.97  -1.04   0.17 -99.00 
1982  8  -3.20  -2.28  -1.91  -1.83  -0.98 -99.00 
1982  9   0.29  -2.06  -1.54  -1.57  -0.76 -99.00 
1982 10   0.19  -1.40  -1.42  -1.51  -1.54 -99.00 
1982 11   0.42   0.24  -1.66  -1.49  -1.42 -99.00 
1982 12  -1.68   0.06  -1.91  -1.55  -1.57 -99.00 
1983  1   0.06  -0.15  -1.40  -1.49  -1.59  -0.12 
1983  2   1.63  -0.22   0.21  -1.70  -1.53  -0.10 
1983  3   1.32   1.58   0.33  -1.72  -1.40  -0.01 
1983  4  -1.29  -0.07  -0.29  -1.45  -1.58  -0.04 
1983  5   0.34   0.04  -0.06   0.12  -1.54   0.11 
1983  6   0.69   0.28   0.51   0.34  -1.27  -0.04 
1983  7  -0.68  -0.02  -0.10  -0.15  -1.09  -0.60 
1983  8   0.75   0.30   0.23   0.23   0.28  -0.48 
1983  9   0.20   0.05   0.16   0.30   0.22  -0.42 
1983 10  -0.17   0.36   0.18   0.13   0.12  -0.94 
1983 11   2.29   0.57   0.55   0.48   0.50  -0.59 
1983 12   0.16   0.70   0.35   0.40   0.56  -0.63 
1984  1   0.41   2.48   0.94   0.60   0.52  -0.63 
1984  2   0.08   0.11   0.58   0.56   0.49  -0.63 
1984  3  -0.23  -0.33   0.63   0.31   0.37  -0.63 
1984  4  -0.47  -0.85   1.11   0.70   0.45  -0.68 
1984  5   1.12   0.72   0.67   0.75   0.69  -0.51 
1984  6   1.35   1.42   1.35   1.34   1.01  -0.11 
1984  7   1.34   2.14   1.95   2.42   2.06   0.76 
1984  8   0.92   1.82   1.87   1.89   2.16   1.62 
1984  9  -0.73   0.97   1.50   1.47   1.55   1.24 
1984 10   0.02   0.03   1.54   1.34   1.71   1.20 
1984 11  -1.11  -0.85   1.14   1.26   1.29   1.15 
1984 12   0.07  -0.32   0.70   1.32   1.31   1.18 
1985  1   0.24  -0.98  -0.15   1.47   1.26   1.20 
1985  2  -0.65  -0.31  -0.93   1.13   1.26   1.17 
1985  3   0.01  -0.40  -0.45   0.66   1.28   1.12 
1985  4  -0.17  -0.52  -1.10  -0.33   1.37   1.21 
1985  5  -1.17  -1.48  -1.53  -1.50   0.61   0.90 
1985  6  -0.03  -0.92  -0.98  -0.99   0.09   0.80 
1985  7   0.93   0.12  -0.06  -0.23  -0.21   1.26 
1985  8  -0.19   0.37  -0.17  -0.18  -0.83   0.97 
1985  9  -0.17   0.28  -0.26  -0.28  -0.46   0.80 
